Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0207-BX17 26.2 0.44 24.75 0.17 24.38 0.02 24.13 0.11 23.72 0.1 23.07 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.197
Q0207-BX171 25.62 0.37 24.16 0.11 23.68 0.01 23.55 0.1 22.89 0.1 22.56 0.1 22.19 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.521
Q0207-BX174 25.07 0.2 24.22 0.11 23.8 0.01 22.52 0.1 21.83 0.1 21.51 0.1 21.74 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 1.592
Q0207-BX178 25.24 0.17 24.36 0.13 24.16 0.02 25.61 0.46 25.38 0.25 23.74 0.17 23.7 0.24 9999.0 9999.0 9999.0 9999.0 9999 9999 1.773
Q0207-BX180 24.79 0.16 23.59 0.1 23.45 0.01 23.0 0.1 22.51 0.1 22.39 0.1 22.66 0.23 9999.0 9999.0 9999.0 9999.0 9999 9999 2.188
Q0207-BX182 25.03 0.2 24.12 0.1 24.0 0.02 24.18 0.1 23.49 0.1 22.79 0.1 22.99 0.25 9999.0 9999.0 9999.0 9999.0 9999 9999 2.19
Q0207-BX184 24.87 0.16 24.21 0.1 23.99 0.01 23.52 0.1 23.23 0.1 23.05 0.1 23.03 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999 2.041
Q0207-BX192 25.09 0.2 24.39 0.14 24.14 0.02 23.82 0.1 23.62 0.1 23.26 0.11 23.37 0.15 22.17 0.38 9999.0 9999.0 9999 9999 2.086
Q0207-BX193 25.75 0.27 25.22 0.23 25.19 0.04 24.21 0.1 24.63 0.1 24.75 0.34 24.05 0.31 9999.0 9999.0 9999.0 9999.0 9999 9999 1.498
Q0207-BX194 26.88 0.74 25.32 0.31 24.98 0.04 23.17 0.1 22.55 0.1 21.83 0.1 21.04 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.178
Q0207-BX197 26.05 0.5 24.73 0.2 24.18 0.02 23.45 0.1 22.83 0.1 22.27 0.1 21.82 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.52
Q0207-BX2 26.39 0.6 24.59 0.19 23.98 0.02 23.58 0.1 23.68 0.1 23.33 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 1.623
Q0207-BX200 25.93 0.33 25.03 0.19 24.81 0.03 25.16 0.24 24.28 0.1 23.88 0.15 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.113
Q0207-BX204 24.66 0.15 23.98 0.1 23.88 0.02 23.6 0.1 23.87 0.1 23.1 0.1 23.35 0.11 9999.0 9999.0 9999.0 9999.0 9999 9999 1.717
Q0207-BX206 25.09 0.2 24.18 0.1 24.09 0.02 23.58 0.1 22.93 0.1 23.09 0.1 23.3 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 2.113
Q0207-BX209 25.9 0.31 24.47 0.13 24.08 0.02 23.34 0.1 23.12 0.1 22.87 0.1 22.41 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 1.832
Q0207-BX211 25.19 0.32 23.65 0.1 23.23 0.01 22.93 0.1 22.47 0.1 23.03 0.12 22.48 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.547
Q0207-BX213 24.98 0.21 24.06 0.11 23.58 0.01 23.01 0.1 22.99 0.1 22.75 0.1 23.32 0.32 9999.0 9999.0 9999.0 9999.0 9999 9999 2.675
Q0207-BX22 25.25 0.22 24.31 0.12 24.05 0.02 23.28 0.1 23.37 0.1 23.03 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 1.632
Q0207-BX223 25.42 0.27 24.91 0.21 24.58 0.03 22.59 0.1 21.85 0.1 21.41 0.1 20.86 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.113
Q0207-BX227 24.85 0.16 24.31 0.12 24.14 0.02 22.99 0.1 22.65 0.1 22.59 0.1 22.11 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.636
Q0207-BX229 25.82 0.43 24.72 0.18 24.35 0.02 24.31 0.12 23.35 0.1 23.0 0.1 22.71 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.546
Q0207-BX23 25.44 0.25 24.37 0.14 24.0 0.02 23.49 0.1 23.63 0.1 22.73 0.1 23.96 0.21 9999.0 9999.0 9999.0 9999.0 9999 9999 2.181
Q0207-BX230 25.99 0.41 24.89 0.18 24.59 0.03 24.26 0.11 23.73 0.1 24.3 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.301
Q0207-BX236 25.28 0.26 24.13 0.15 23.79 0.02 22.75 0.1 22.67 0.1 22.25 0.1 22.08 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.117
Q0207-BX238 24.79 0.19 24.01 0.11 23.77 0.02 22.93 0.1 22.44 0.1 22.07 0.1 22.04 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.041
Q0207-BX240 24.57 0.13 24.1 0.11 23.88 0.02 23.29 0.1 23.0 0.1 22.71 0.1 23.1 0.19 9999.0 9999.0 9999.0 9999.0 9999 9999 1.986
Q0207-BX243 24.15 0.1 23.87 0.1 23.92 0.01 23.71 0.1 25.97 0.1 23.19 0.1 23.66 0.21 9999.0 9999.0 9999.0 9999.0 9999 9999 2.039
Q0207-BX244 25.93 0.38 24.8 0.17 24.53 0.02 23.95 0.1 23.6 0.1 24.5 0.28 23.49 0.17 9999.0 9999.0 9999.0 9999.0 9999 9999 2.52
Q0207-BX247 25.08 0.2 24.28 0.11 24.09 0.02 24.0 0.1 23.71 0.1 23.36 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.419
Q0207-BX251 25.48 0.27 24.52 0.13 24.16 0.02 23.38 0.1 23.3 0.1 23.11 0.1 23.32 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999 1.966
Q0207-BX253 25.59 0.26 25.02 0.21 24.78 0.03 24.34 0.12 24.68 0.13 23.64 0.13 23.63 0.18 9999.0 9999.0 9999.0 9999.0 9999 9999 2.135
Q0207-BX255 24.72 0.18 23.59 0.1 23.26 0.01 23.05 0.1 22.49 0.1 22.1 0.1 22.45 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.374
Q0207-BX256 26.0 0.21 24.96 0.13 24.6 0.02 23.32 0.1 22.77 0.1 21.89 0.1 20.49 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.724
Q0207-BX257 25.86 0.34 24.97 0.19 24.53 0.02 23.54 0.1 22.99 0.1 22.5 0.1 22.09 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.715
Q0207-BX26 24.92 0.19 24.17 0.12 23.72 0.01 22.51 0.1 21.89 0.1 21.64 0.1 20.93 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.557
Q0207-BX261 25.08 0.19 24.18 0.11 24.04 0.02 23.63 0.1 22.93 0.1 23.01 0.1 22.52 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.98
Q0207-BX263 25.88 0.36 24.94 0.22 24.41 0.02 23.44 0.1 22.99 0.1 22.25 0.1 22.5 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 1.616
Q0207-BX265 24.76 0.16 24.08 0.11 23.85 0.01 22.86 0.1 22.7 0.1 22.57 0.1 22.12 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.596
Q0207-BX273 26.03 0.4 24.84 0.2 24.45 0.02 24.51 0.16 23.65 0.1 23.15 0.1 23.28 0.11 9999.0 9999.0 9999.0 9999.0 9999 9999 2.523
Q0207-BX275 25.92 0.37 24.83 0.17 24.37 0.02 25.08 0.24 24.24 0.1 24.81 0.38 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.525
Q0207-BX278 24.4 0.14 23.06 0.1 22.82 0.01 21.94 0.1 21.9 0.1 21.44 0.1 21.08 0.1 9999.0 9999.0 21.99 0.01 9999 9999 1.82
Q0207-BX282 25.14 0.22 24.46 0.13 24.09 0.02 24.21 0.11 23.68 0.1 23.11 0.1 23.0 0.2 22.49 0.23 9999.0 9999.0 9999 9999 2.428
Q0207-BX283 25.28 0.21 24.49 0.13 24.27 0.02 23.71 0.1 23.62 0.1 23.3 0.1 23.38 0.21 9999.0 9999.0 23.63 0.03 9999 9999 1.977
Q0207-BX285 25.08 0.19 24.44 0.14 24.3 0.02 23.98 0.1 23.78 0.1 23.39 0.11 24.03 0.19 9999.0 9999.0 24.48 0.07 9999 9999 2.15
Q0207-BX288 24.83 0.14 24.19 0.1 24.24 0.02 24.26 0.12 24.17 0.1 23.97 0.15 24.79 0.33 9999.0 9999.0 9999.0 9999.0 9999 9999 2.415
Q0207-BX292 23.92 0.1 23.37 0.1 23.3 0.01 22.66 0.1 22.61 0.1 22.49 0.1 21.9 0.1 9999.0 9999.0 22.66 0.1 9999 9999 1.828
Q0207-BX298 26.17 0.43 25.12 0.25 24.78 0.03 23.76 0.1 23.39 0.1 22.75 0.1 22.01 0.1 9999.0 9999.0 23.48 0.02 9999 9999 2.145
Q0207-BX298-CS7 26.61 0.41 25.47 0.28 25.26 0.04 26.09 0.54 24.95 0.12 24.3 0.22 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.073
Q0207-BX298-CS8 27.52 0.71 26.52 0.8 26.08 0.12 25.74 0.42 25.45 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.162
Q0207-BX299 25.28 0.21 24.8 0.17 24.5 0.02 24.31 0.12 23.93 0.1 24.06 0.19 23.93 0.25 9999.0 9999.0 23.89 0.02 9999 9999 1.967
Q0207-BX3 27.0 1.02 25.27 0.26 24.54 0.02 24.19 0.1 24.18 0.1 23.33 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.383
Q0207-BX30 25.13 0.2 24.43 0.14 24.11 0.02 23.84 0.1 23.47 0.1 23.37 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.174
Q0207-BX300 25.86 0.34 24.76 0.2 24.55 0.03 23.93 0.1 23.88 0.1 24.1 0.22 23.5 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 2.114
Q0207-BX304 26.35 0.45 24.88 0.2 24.34 0.02 24.34 0.12 23.56 0.1 24.5 0.32 23.03 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999 2.566
Q0207-BX307 24.98 0.28 23.39 0.12 23.09 0.02 22.99 0.1 23.3 0.1 22.33 0.11 22.75 0.15 9999.0 9999.0 23.57 0.03 9999 9999 1.965
Q0207-BX310 24.77 0.14 23.74 0.1 23.17 0.01 24.69 0.19 24.01 0.1 9999.0 9999.0 21.78 0.1 9999.0 9999.0 24.08 0.05 9999 9999 1.821
Q0207-BX317 25.89 0.27 25.05 0.2 24.83 0.03 24.6 0.14 24.8 0.1 24.48 0.21 24.11 0.17 9999.0 9999.0 24.19 0.04 9999 9999 2.148
Q0207-BX318 27.18 0.66 25.82 0.29 25.4 0.04 24.87 0.13 24.64 0.1 24.29 0.15 9999.0 9999.0 9999.0 9999.0 24.98 0.04 9999 9999 2.378
Q0207-BX319 26.74 0.97 24.67 0.26 24.15 0.02 23.93 0.14 24.49 0.11 24.68 0.47 23.12 0.19 9999.0 9999.0 25.03 0.04 9999 9999 2.055
Q0207-BX322 25.13 0.18 24.44 0.11 24.23 0.02 23.37 0.1 23.2 0.1 23.14 0.1 22.89 0.16 9999.0 9999.0 23.44 0.02 9999 9999 2.108
Q0207-BX323 25.83 0.33 25.18 0.26 24.71 0.03 23.55 0.1 23.42 0.1 22.8 0.1 22.42 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.615
Q0207-BX326 25.63 0.28 24.56 0.14 24.25 0.02 23.19 0.1 22.83 0.1 22.41 0.1 21.82 0.1 9999.0 9999.0 23.0 0.01 9999 9999 1.789
Q0207-BX37 24.83 0.2 23.75 0.1 23.52 0.01 22.91 0.1 22.58 0.1 22.1 0.1 22.58 0.14 9999.0 9999.0 9999.0 9999.0 9999 9999 2.09
Q0207-BX38 25.45 0.27 24.49 0.16 24.27 0.02 22.85 0.1 22.49 0.1 22.09 0.1 21.47 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.653
Q0207-BX40 25.35 0.29 24.6 0.16 24.16 0.02 22.92 0.1 22.31 0.1 21.77 0.1 22.08 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999 2.267
Q0207-BX5 24.08 0.13 23.22 0.1 22.9 0.01 21.96 0.1 21.67 0.1 21.42 0.1 22.57 0.21 9999.0 9999.0 9999.0 9999.0 9999 9999 1.794
Q0207-BX53 24.39 0.11 23.42 0.1 23.0 0.01 22.84 0.1 22.79 0.1 22.58 0.1 22.75 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999 1.868
Q0207-BX65 26.27 0.48 24.9 0.18 24.58 0.02 23.91 0.1 23.49 0.1 22.98 0.1 23.0 0.2 9999.0 9999.0 9999.0 9999.0 9999 9999 2.192
Q0207-BX66 25.53 0.26 24.76 0.15 24.51 0.02 23.09 0.1 22.84 0.1 22.68 0.1 22.32 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.689
Q0207-BX67 25.77 0.37 24.34 0.12 24.02 0.02 23.63 0.1 22.96 0.1 23.25 0.1 23.18 0.23 9999.0 9999.0 9999.0 9999.0 9999 9999 2.195
Q0207-BX7 25.67 0.13 24.5 0.1 24.4 0.02 24.09 0.1 24.17 0.1 24.01 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 1.952
Q0207-BX74 25.13 0.18 24.29 0.11 24.12 0.01 24.31 0.1 24.79 0.1 23.63 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.189
Q0207-BX75 25.92 0.39 25.24 0.27 24.8 0.03 24.32 0.12 26.22 0.21 24.74 0.31 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.085
Q0207-BX8 25.02 0.22 24.05 0.12 23.72 0.01 23.3 0.1 23.04 0.1 22.79 0.1 22.7 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999 2.092
Q0207-BX86 24.06 0.1 23.06 0.1 23.04 0.01 22.95 0.1 23.06 0.1 22.57 0.1 22.14 0.11 9999.0 9999.0 9999.0 9999.0 9999 9999 1.247
Q0207-BX87 24.71 0.12 23.95 0.1 23.84 0.01 23.77 0.1 23.28 0.1 22.98 0.1 22.56 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.192
Q0207-BX87-CS11 24.54 0.1 24.19 0.1 24.09 0.01 23.99 0.1 23.29 0.1 23.06 0.1 23.15 0.19 9999.0 9999.0 9999.0 9999.0 9999 9999 0.908
Q0207-BX87-CS9 23.05 0.1 22.81 0.1 22.24 0.0 21.56 0.1 21.53 0.1 21.06 0.1 20.93 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 0.908
Q0207-BX90 24.56 0.13 24.0 0.1 23.78 0.01 23.1 0.1 23.0 0.1 22.87 0.1 23.19 0.24 9999.0 9999.0 9999.0 9999.0 9999 9999 1.969
Q0207-BX91 25.93 0.41 24.61 0.19 24.2 0.02 23.07 0.1 22.85 0.1 22.49 0.1 22.54 0.14 9999.0 9999.0 9999.0 9999.0 9999 9999 1.967
Q0207-BX92 25.62 0.33 24.58 0.14 24.07 0.02 23.57 0.1 23.47 0.1 23.59 0.13 22.93 0.17 9999.0 9999.0 9999.0 9999.0 9999 9999 2.637
Q0207-BX94 25.3 0.23 24.33 0.11 23.98 0.01 23.59 0.1 23.07 0.1 22.73 0.1 22.89 0.16 9999.0 9999.0 9999.0 9999.0 9999 9999 2.087
Q0207-BX95 25.64 0.42 24.78 0.16 24.61 0.03 23.94 0.1 22.91 0.1 23.12 0.1 23.46 0.25 9999.0 9999.0 9999.0 9999.0 9999 9999 2.088
Q0207-C1 27.12 9999.0 24.21 0.11 23.62 0.01 23.91 0.1 23.41 0.1 22.72 0.1 23.14 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 3.282
Q0207-C12 27.05 9999.0 25.27 0.26 24.68 0.03 24.18 0.1 24.19 0.1 23.74 0.11 24.31 0.34 9999.0 9999.0 9999.0 9999.0 9999 9999 3.066
Q0207-C18 26.68 9999.0 25.39 0.22 25.11 0.04 24.82 0.14 24.71 0.11 24.77 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 3.283
Q0207-C2 31.63 9999.0 24.9 0.19 24.15 0.02 24.5 0.14 23.77 0.1 22.4 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 3.202
Q0207-C20 26.54 9999.0 24.1 0.11 23.76 0.01 24.13 0.12 23.76 0.1 23.83 0.11 24.43 0.21 9999.0 9999.0 24.3 0.03 9999 9999 3.069
Q0207-C22 27.44 9999.0 25.6 0.35 24.91 0.03 24.71 0.17 26.16 0.48 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.931
Q0207-C27 26.65 9999.0 25.2 0.28 24.26 0.02 23.4 0.1 23.1 0.1 22.91 0.1 22.27 0.13 9999.0 9999.0 9999.0 9999.0 9999 9999 2.783
Q0207-C29 27.11 9999.0 25.65 0.34 24.75 0.03 25.04 0.21 23.81 0.1 23.81 0.14 24.11 0.24 9999.0 9999.0 9999.0 9999.0 9999 9999 2.89
Q0207-C31 26.95 9999.0 24.83 0.16 24.19 0.02 24.9 0.19 24.5 0.11 23.63 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 3.237
Q0207-C6 27.97 9999.0 25.36 0.27 24.47 0.02 24.4 0.12 23.98 0.1 24.77 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 3.058
Q0207-C8 27.08 9999.0 24.65 0.15 24.03 0.01 24.33 0.12 23.76 0.1 22.88 0.1 23.34 0.19 9999.0 9999.0 9999.0 9999.0 9999 9999 2.929
Q0207-D17 26.1 9999.0 24.71 0.2 23.94 0.02 23.69 0.1 24.21 0.1 23.72 0.18 23.39 0.22 9999.0 9999.0 9999.0 9999.0 9999 9999 2.933
Q0207-D19 26.5 9999.0 25.13 0.21 24.47 0.02 24.57 0.14 23.94 0.1 23.37 0.1 23.45 0.25 9999.0 9999.0 9999.0 9999.0 9999 9999 2.757
Q0207-D26 26.31 9999.0 24.67 0.19 24.02 0.02 23.87 0.1 23.45 0.1 22.77 0.1 22.98 0.24 22.09 0.35 9999.0 9999.0 9999 9999 3.24
Q0207-D27 26.28 9999.0 25.04 0.23 24.59 0.03 24.07 0.1 24.1 0.1 23.56 0.13 24.32 0.36 9999.0 9999.0 9999.0 9999.0 9999 9999 3.085
Q0207-D28 25.74 0.54 23.36 0.1 22.74 0.01 22.69 0.1 22.4 0.1 22.13 0.1 21.85 0.1 21.44 0.1 9999.0 9999.0 9999 9999 2.847
Q0207-D31 26.45 0.57 24.29 0.15 23.93 0.02 24.1 0.14 23.76 0.1 23.68 0.19 23.98 0.38 9999.0 9999.0 9999.0 9999.0 9999 9999 2.77
Q0207-D32 26.32 9999.0 25.4 0.3 24.93 0.04 24.34 0.12 25.31 0.23 24.46 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.845
Q0207-D36 27.41 9999.0 26.02 0.25 25.2 0.02 24.7 0.1 24.33 0.1 23.86 0.1 22.5 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999 2.927
Q0207-D39 26.08 9999.0 24.61 0.18 24.0 0.02 24.23 0.14 23.76 0.1 23.44 0.14 23.15 0.12 9999.0 9999.0 9999.0 9999.0 9999 9999 2.815
Q0207-D44 26.29 9999.0 24.84 0.16 24.3 0.02 24.86 0.18 23.95 0.1 23.31 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.99
Q0207-D45 26.52 9999.0 25.09 0.23 24.3 0.02 24.13 0.1 23.7 0.1 24.05 0.19 23.61 0.27 9999.0 9999.0 9999.0 9999.0 9999 9999 2.867
Q0207-D46 27.15 1.05 24.64 0.13 24.48 0.02 24.61 0.14 24.42 0.1 24.85 0.35 9999.0 9999.0 9999.0 9999.0 24.62 0.04 9999 9999 2.784
Q0207-D48 26.78 9999.0 25.47 0.31 25.09 0.04 24.63 0.15 24.52 0.1 24.41 0.26 9999.0 9999.0 9999.0 9999.0 26.36 0.13 9999 9999 3.014
Q0207-D49 26.93 9999.0 25.0 0.18 24.71 0.02 24.91 0.18 24.25 0.1 23.63 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 3.085
Q0207-D50 26.78 0.78 24.29 0.12 24.42 0.02 25.85 0.56 24.04 0.1 24.53 0.34 23.61 0.26 9999.0 9999.0 9999.0 9999.0 9999 9999 2.763
Q0207-D51 25.53 0.3 23.97 0.1 23.89 0.02 23.99 0.11 23.72 0.1 24.38 0.34 23.48 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999 2.873
Q0207-D52 26.56 9999.0 25.05 0.2 24.79 0.03 24.39 0.11 24.09 0.1 24.0 0.17 21.82 0.1 9999.0 9999.0 25.69 0.09 9999 9999 2.87
Q0207-D53 26.4 0.74 24.21 0.12 23.77 0.01 23.55 0.1 23.07 0.1 22.94 0.1 23.53 0.25 9999.0 9999.0 9999.0 9999.0 9999 9999 2.872
Q0207-D6 26.57 0.93 24.54 0.18 23.75 0.01 23.53 0.1 23.2 0.1 23.16 0.11 22.73 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.874
Q0207-D7 25.12 0.24 23.09 0.1 22.88 0.01 22.61 0.1 23.14 0.1 22.74 0.1 22.93 0.17 9999.0 9999.0 9999.0 9999.0 9999 9999 2.89
Q0207-D9 26.19 9999.0 24.75 0.18 23.88 0.01 22.9 0.1 22.51 0.1 21.92 0.1 21.37 0.1 21.02 0.14 9999.0 9999.0 9999 9999 3.077
Q0207-M14 26.65 9999.0 25.77 0.41 24.66 0.02 24.11 0.1 23.88 0.1 24.16 0.21 24.44 0.32 9999.0 9999.0 9999.0 9999.0 9999 9999 2.32
Q0207-M21 27.91 9999.0 26.6 0.35 25.64 0.03 25.42 0.13 24.75 0.1 24.15 0.1 23.63 0.28 9999.0 9999.0 9999.0 9999.0 9999 9999 2.891
